,EC_Multi_layer_fNIRS_left
362,0.3005702353998664
363,0.6870252162857595
364,0.8026173474054185
365,0.7946421543476632
366,0.7929346153766407
367,1.0
368,0.6311778696602867
369,0.7727160222145566
370,0.6452632769011754
371,0.8643828020702735
372,0.6095643275813913
373,0.40962249177309334
374,0.585025194955121
375,0.4752243818463369
376,0.7621612399114271
377,0.748221474600585
378,0.6067081911607712
379,0.7630092223311725
380,0.6510973378881243
381,0.8469244799281093
382,0.45265510796082314
383,0.7777622843010118
384,0.4528508663153864
385,0.8224455179451754
386,0.20867626410221746
387,0.609677243434043
388,0.35463668042202806
389,0.3023189809435237
390,0.5764296239464088
391,0.5792985195514083
392,0.232098778667356
393,0.7103033549926873
394,0.33123644295918997
395,0.5996051693513774
396,0.20479612247462645
397,0.40473389754279265
398,0.4211023596843658
399,0.08518635078919584
400,0.2537969908364442
401,0.43559497585665774
402,0.5936907477519119
403,0.29384457196285324
404,0.4375751809568179
405,1.0
406,0.03264284885034348
407,0.18361395510627615
408,0.11866247342130043
