,EC_Multi_layer_EEG_left
815,0.486632122878093
816,0.29693984525875616
817,0.40282812033668725
818,0.40872336092582096
819,0.4262590474972687
820,0.7272671537955767
821,0.5092543669016546
822,0.3740374894972317
823,0.5761773157277915
824,0.4796487266169791
825,0.40951329334707953
826,0.5688364939260728
827,0.40278884280088767
828,0.5239955610513812
829,0.8534957660091761
830,0.9595602981717481
831,0.5956342024053819
832,0.53642576956189
833,0.5208606217660594
834,0.5122756010029498
835,0.6030794690459723
836,0.15190167196159496
837,0.2596108872955988
838,0.3359259009410497
839,0.17182246262372164
840,0.2284997151428891
841,0.29463937721485195
842,0.30695654320415006
843,0.26801337252613033
844,0.21035905375448796
845,0.3195487160618061
846,0.19928292470224765
847,0.18765734656806182
848,0.3372186102358103
849,0.4665810254859017
850,0.23443525613630317
851,0.2785114734284831
852,0.24391577311950624
853,0.29206629425242076
854,0.2606914058170599
855,0.19123302163234018
856,0.37997250427756935
857,0.2862165954709636
858,0.21865049026902753
859,0.3851403179026963
860,0.0962592671891763
861,0.1897141896141444
862,0.16684510034173616
863,0.2093782696077471
864,0.2404444978677936
865,0.27008368002097066
866,0.23535603676525096
867,0.07985423633157569
868,0.2707568894367043
869,0.370873319040193
870,0.33560195747338906
871,0.13690065436665466
872,1.0
873,0.46562438450557386
874,0.28874136030544784
875,0.21029217312564327
876,0.24865591568980613
877,0.18402410184142398
878,0.34920670515686764
879,0.2237412626694009
880,0.5494213336195564
881,0.5180207475300886
882,0.31959109610250797
883,0.8798363700975871
884,0.42491166884383674
885,0.7274173392198531
886,0.5417084164917301
887,0.658395293732754
888,0.5335990806939679
889,0.24164893901590453
890,0.41441908072033157
891,0.5026782143141372
892,0.7353202628906949
893,0.5069639930254464
894,0.42368021856959914
895,0.37250847146716204
896,0.5647871800529882
897,0.5679720821314735
898,0.40695710842415084
899,0.8980706937632308
900,0.7955241509863124
901,0.597459791928636
902,0.7285620453696162
903,0.37482995795503987
904,0.39961279346740414
905,0.85307345185002
906,0.6920268256940812
907,0.3854147728292086
908,0.5482649097359427
909,1.0
910,0.6796678737533698
911,0.7590388908014144
912,0.38774598999211163
913,0.44492060707389136
914,0.4258808863171509
915,0.8835507245231363
916,0.3578498228706714
917,0.4356112474538971
918,0.6003355588484358
919,0.9330099422119635
920,0.4104462631539858
921,0.33845575124915267
922,0.44216351595019815
923,0.9220422283516423
924,0.6421416119718772
925,0.39451831285337147
926,0.659352725090932
927,1.0
928,0.4246904026390264
