,EC_Multi_layer_left_pli_alpha
426,0.057271686125295936
427,0.10744991687694978
428,0.009890111586289054
429,0.004941594407648352
430,0.16123765439401286
431,0.09721555780730481
432,0.03849594430137962
433,0.10744991687694985
434,0.0049415944076482725
435,0.027605289002156683
436,0.23138997329064906
437,0.4500466965152508
438,0.01379298307854193
439,0.5147713654488296
440,0.09781258198518406
441,0.2834534551164578
442,0.030250531587953725
443,0.022559371076771115
444,0.01974885879966701
445,0.1461013675123685
446,0.09781258198518417
447,0.01683082938767382
448,0.09781258198518408
449,0.16689343915866423
450,0.22737788608448264
451,0.05759068342909868
452,0.10895527422227969
453,0.1089552742222797
454,0.05723069719415622
455,0.5509906708234152
456,0.016830829387673902
457,0.3479143143811825
458,0.07846232855097408
459,0.09085222908271778
460,0.3064859074270084
461,0.3157441333686938
462,0.07846232855097411
463,0.12005638592497332
464,0.010438689483698466
465,0.3064859074270083
466,0.1076830584703917
467,0.04877446894443886
468,0.2632828795218701
469,0.888172949139073
470,0.06537534892938066
471,0.2809851034230374
472,0.3064859074270085
473,0.026648405198198923
474,0.09781258198518407
475,0.30648590742700826
476,0.34507458003994906
477,0.3450745800399492
478,0.4235369085909232
479,0.07846232855097407
480,0.05041586803759289
481,1.0
482,0.34507458003994906
483,0.07722506014529977
484,0.013098218410331578
485,0.01529347922552906
486,0.0026206681937499476
487,0.26281274135050264
488,0.006271062578798623
489,0.7507605183425782
490,0.12469622631420423
491,0.3500620170206915
492,0.034947586277690575
493,0.14335140866826476
494,0.0004254073785526628
495,0.017350629128281444
496,0.16232782905022827
497,0.3160592944406418
498,0.03741685122484419
499,0.6008639048720383
500,0.3160592944406423
501,0.2628127413505025
502,0.013098218410331862
503,0.013098218410331784
504,0.21033963049443438
505,0.050181883261170165
506,1.0
507,0.3160592944406421
508,0.2969053038463773
509,0.05682480725591293
510,0.31605929444064235
511,0.9028665752730349
512,0.3496648047228965
513,0.14211099278751604
514,0.00042540737855254466
515,0.049747660776011074
516,0.0012152343238291655
517,0.06241570580354344
518,0.21033963049443483
519,0.3160592944406422
520,0.10393526952860425
521,0.9988653087782113
522,0.40688682427660394
523,0.006073796229223974
524,0.26281274135050264
525,0.3562118146249322
526,0.006073796229224054
527,0.3500620170206916
528,0.10533819423830255
529,0.3606370940962435
530,0.3578637997739184
531,0.5843570673511559
532,0.0529009422697105
533,0.0460927762333434
534,0.29363140535347565
535,0.11338048250362236
536,0.10533819423830255
537,0.10533819423830264
538,0.4881189542147635
539,0.9975493809494369
540,0.3587429420619901
541,0.14734373517874316
542,0.08018967014671469
543,0.0460927762333434
544,0.050887392063064696
