,EC_Multi_layer_left_pli_beta
416,0.3986245220272129
417,0.3899329437202102
418,0.39707043796839714
419,0.1593507083091341
420,0.31835978623496264
421,0.03476120028135172
422,0.15483084474129025
423,0.3438342851479263
424,0.01003730271841122
425,0.010037302718411257
426,0.027118754658704038
427,0.10039038046492905
428,0.053236152820471005
429,0.01565319759042471
430,1.0
431,0.034761200281351726
432,0.2919731533512972
433,0.07887158387080838
434,0.03476120028135172
435,0.02919226834546995
436,0.10946300951994502
437,0.5817840260763665
438,0.1669938293304799
439,0.34383428514792636
440,0.3524608500577353
441,0.004988788398499015
442,0.3524608500577353
443,0.014154163214670999
444,0.12222130516119176
445,0.7218389879397465
446,0.2544199832940591
447,1.0
448,0.40245761680731806
449,0.5414532038002383
450,0.14467594232379144
451,0.0492992022963422
452,0.3524608500577352
453,0.14741305458282866
454,0.025191749421636853
455,0.6724326747550885
456,0.2544199832940591
457,0.12249538892425718
458,0.3524608500577353
459,0.07680543677909375
460,0.058225934956986275
461,0.1651983048541373
462,0.004988788398498995
463,0.21791196601413215
464,0.030180537820135838
465,0.3199718246973533
466,0.90782231457746
467,0.25441998329405924
468,0.3524608500577353
469,0.07147389395874792
470,0.34676561990124743
471,0.16859061431897623
472,0.1418505537321176
473,0.14467594232379158
474,0.3769153722183165
475,0.13987142767279448
476,0.06785057685489726
477,0.4104737938982213
478,0.1222213051611918
479,0.31997182469735325
480,0.1222213051611917
481,0.1222213051611918
482,0.34754324885782695
483,0.023914671995184933
484,0.001077381948125398
485,0.39142515133426775
486,0.001808589600663529
487,0.052962429406829256
488,0.13782717612146503
489,0.005982501939118387
490,0.30716241192824045
491,0.0020290368058451325
492,0.001837599724984983
493,0.00666194806506439
494,0.003507531866812894
495,0.33916191360972237
496,0.010341762226430573
497,1.0
498,0.026984577687477865
499,0.003176600629058792
500,0.30716241192824034
501,0.017962838907040014
502,0.10417779141855978
503,0.3071624119282404
504,0.01193483729299914
505,0.008288647967350668
506,0.0018085896006635469
507,0.13649916113139093
508,0.34288322949108485
509,0.30716241192824034
510,0.035720817562844336
511,0.0006232438391744415
