,EC_Multi_layer_right_pli_gamma
344,0.04442054928992047
345,1.0
346,0.03880725565245685
347,0.1136568692388961
348,0.07861633776773203
349,0.16643237862293128
350,0.5048438050353999
351,0.3599121651693205
352,0.3766142750346298
353,0.12208948395057198
354,0.29378889052926616
355,0.24285513843712783
356,0.3350054546539708
357,0.8769674835077609
358,0.3644402867310891
359,0.16604099616456094
360,0.015844278112717502
361,0.3343473616262939
362,1.0
363,0.200837714413769
364,0.09164273716777513
365,0.122089483950572
366,0.03908322376843115
367,0.33434736162629386
368,0.3343473616262937
369,0.20068600957261956
370,0.10357134686489108
371,0.12208948395057177
372,0.24285513843712772
373,0.5995058039315078
374,0.0757872285257929
375,0.20068600957261967
376,0.2848428013269428
377,0.1253342663724209
378,0.5990529610328568
379,0.12208948395057188
380,0.998035575186808
381,0.11666444001277704
382,0.7249289080620333
383,0.2262268493630169
384,0.12616783643715165
385,0.20068600957261976
386,0.10357134686489097
387,0.05562463941130688
388,0.3091631656322449
389,0.14740643854861282
390,0.4400120550301782
391,0.04729558248262958
392,0.04198766288981487
393,0.27355595526775295
394,0.33500545465397097
395,0.24285513843712794
396,0.08245455782893862
397,0.14148175087943257
398,0.08396997563518288
399,0.000925326467714843
400,0.19685833519969806
401,0.35997769846773425
402,0.3454412749902369
403,0.14384148818603174
404,0.8982392489172809
405,0.4278958328191757
406,0.2386934156356069
407,0.064801702097432
408,0.01572166159976293
409,0.14148175087943263
410,0.18759108071050123
411,0.47824597139150815
412,0.3995844431427314
413,0.3454412749902368
414,0.3102889113922584
415,0.08396997563518269
416,0.005903717231494718
417,0.014731330730792557
418,0.09817621942870158
419,0.1414817508794326
420,0.24308031991126672
421,0.4095681701135191
422,0.6197106135420566
423,0.09162899564959573
424,0.1567362445440973
425,0.03674124675321906
426,0.04551182136589619
427,0.05414316815249446
428,0.017851926133932015
429,0.24308031991126697
430,0.05642155257746
431,0.031652437083271194
432,0.14148175087943257
433,0.002359033562419187
434,1.0
435,0.3102889113922585
436,0.019490333059286435
437,0.006166792124736905
438,0.00031964595478972603
439,0.08245455782893861
440,0.046528227532027455
441,0.10605885243455827
442,0.29931031259742413
443,0.14856942797361258
444,0.09833401522407656
445,0.04652822753202742
446,0.10168852495263603
447,0.1313080238710698
448,0.3543441303915532
449,0.26172898076117457
450,0.24577011829639578
451,0.03232533359536524
452,0.04120662614768211
453,0.2775099311378937
454,0.7386293670843697
455,0.046528227532027386
456,0.09833401522407667
457,0.3543441303915532
458,0.3543441303915532
459,0.26172898076117457
460,0.00882658430023271
461,0.061471289058312915
462,0.0063508845978109026
463,0.5048158929879557
464,0.08708719884396564
465,0.21393824613897627
466,0.26172898076117473
467,0.4551889746350965
468,0.03232533359536522
469,0.046528227532027476
470,0.01567253005818206
471,0.17887854860865282
472,0.017922928738210452
473,0.09833401522407667
474,0.02490963880360942
475,0.5156376717724495
476,0.014601326108670386
477,0.052644704758080293
478,0.09833401522407667
479,0.04422968722767828
480,0.13130802387106977
481,1.0
482,0.09122581926119527
483,0.2775099311378939
484,0.30228958089472713
485,0.16921188295881004
486,0.3157080920966791
487,0.1292841745693797
488,0.12672923716491333
489,0.0508623000408816
490,0.08405091800681976
491,0.27665680515582125
492,0.26489808711212026
493,0.02346452683240922
494,0.005675896310485471
495,0.014142144753123745
496,0.12928417456937963
497,0.10631584540684415
498,0.01788837184588939
499,0.023464526832409224
500,0.14276868944491306
501,0.4230547643265151
502,0.3094690112805066
503,0.1351612468082548
504,0.2892332247732484
505,0.047536478690831954
506,0.1487892000433523
507,0.2892332247732483
508,0.09299503739262746
509,0.27665680515582153
510,0.02015240888270698
511,0.33676970346408036
512,0.26489808711212043
513,0.23170777057698383
514,0.04021059131886647
515,0.7866228158389237
516,0.1987727575965249
517,0.48112291245283595
518,0.11103516242172193
519,0.01613836874769491
520,0.05021203136091226
521,1.0
522,0.36759580660196345
523,0.05729967355158241
524,0.06671707265195133
525,0.8223815552889088
526,0.03270653917271929
527,0.7531890606382067
528,0.20129308733265855
529,0.3849723993059117
530,0.37245396000367553
531,0.9629300969992456
532,0.06437071717185285
533,0.19968217056370513
534,0.055072117524496894
535,0.01031557928571268
536,0.8416007957245438
537,0.024381485990463587
538,0.0660496769252645
539,0.19301396872956625
540,0.027945002178488047
541,0.14919088900102112
542,0.03175604744227229
543,0.09809188505347705
544,0.06538769681020964
545,0.22862760224649614
546,0.15191209121535817
547,0.07430505064137717
548,0.31066734866453444
549,0.31066734866453444
550,0.05507211752449683
551,0.17438088368819768
552,0.22346390036516123
553,0.03606834730272809
554,1.0
555,0.15061916656886237
556,0.0824891537666779
557,0.08602743388183325
558,0.02822791527467811
559,0.35545467839832107
560,0.40802875159114876
561,0.41153129672819105
562,0.010420013433045319
563,0.1231087950563213
564,0.4428490099611618
565,0.333502894093865
566,0.02822791527467806
567,0.0977094951269671
568,0.31066734866453444
569,0.7803537099426034
570,0.010420013433045465
571,0.5228766729655971
572,0.07085844303186602
573,0.04310650614263687
574,0.3641202373753305
575,0.5090097367335883
576,0.01311323018687182
577,0.03550746658993045
578,0.03381815344054925
579,0.0318019492603012
580,0.10907464812314056
581,0.1090746481231406
582,0.08594699755406442
583,0.01839298252188435
584,0.16569978938288948
585,0.014032617597265293
586,0.04980376330454578
587,0.49390785060261316
588,0.3641202373753306
589,0.0042765007765342275
590,0.11062900367388546
591,0.038538417140491714
592,0.3255336340837336
593,0.23221684497574158
594,0.03381815344054921
595,0.033818153440549274
596,0.11853338411622312
597,0.11853338411622313
598,1.0
599,0.03550746658993045
600,0.10388528219437583
601,0.21766857741538237
602,0.006697257161908852
603,0.002180182462309452
604,0.32553363408373337
605,0.016212800059574744
606,0.0975157734870136
607,0.36412023737533067
608,0.11853338411622318
609,0.1656997893828895
610,0.11838536208083127
611,0.29955667641375144
612,0.3255336340837333
613,0.040282259078331474
614,0.0013921448389470994
615,0.011744748952599412
616,0.04479892374217147
617,0.032785669934062296
618,0.017905251132902332
619,0.33996386111286125
620,0.036079578547191016
621,0.3269626888584488
622,0.20734742548702523
623,0.051104262203350584
624,0.05065318751067769
625,0.09643869153250359
626,0.3399638611128612
627,0.0465809631597136
628,0.07525638822175212
629,0.03607957854719102
630,0.391068123316212
631,0.04479892374217147
632,0.1668536006366487
633,0.28832683766968215
634,0.036079578547190974
635,0.1317755469523246
