,EC_Multi_layer_right_hbr
362,0.45796498555222376
363,0.1565319627559388
364,0.000968548255176778
365,0.00037270320694543296
366,0.01396517474300809
367,0.004092150709061496
368,0.0024265709720388815
369,0.0007447896996690627
370,4.788815667459265e-05
371,0.17702478092143664
372,0.02015577805970958
373,0.00010994269609853244
374,0.00013971516181128166
375,0.7560374079613105
376,0.05401973488782177
377,0.011905780984240033
378,4.7888156674656673e-05
379,0.006968279718319688
380,0.3413798436964596
381,0.001478824944738638
382,0.7837474443753853
383,0.7560374079613107
384,0.32931007815177027
385,0.00027629213209525924
386,0.26765876389246296
387,0.1770247809214367
388,0.4064174326638126
389,0.40641743266381236
390,1.0
391,9.234894321670689e-05
392,0.0917108006507576
393,0.3293100781517701
394,0.00043863187998881243
395,0.0007413565165637274
396,0.20960542378204258
397,0.3335733342646164
398,0.10761376604196406
399,0.002039729465595661
400,0.03793010198650191
401,0.07287404259169256
402,0.9141450823996317
403,0.12315302314773288
404,0.5133177516690486
405,0.9890833086582552
406,0.15236505506050735
407,0.109625758865793
408,0.01010654548106566
409,0.004977460688537068
410,0.5153574811346442
411,0.13990116845062436
412,0.05046726951960162
413,0.1297946229695587
414,0.021718891970629612
415,0.05299964176907157
416,0.4053195986550516
417,0.12677832219806237
418,0.05318895185985029
419,0.26354306790620613
420,0.9796209786638098
421,0.26852052859474324
422,0.13636214359093576
423,1.0
424,0.4014420003151375
425,0.019685090731842346
426,0.3093714757487435
427,0.2469333146499015
428,0.6025803358197184
429,0.05046726951960158
430,0.6281670686821634
431,0.12677832219806215
432,0.031139776785523984
433,0.3093714757487432
434,0.5464892632294671
435,0.06322813780888473
436,0.30937147574874324
437,0.26751484175190127
438,0.0127608682892833
439,0.06243816109884185
440,0.20069947806335678
441,0.5523443792133511
442,0.0022874186962575714
443,0.006396982071719697
444,0.686252962461646
445,0.7278347588847366
446,0.7075678774916472
447,0.005156071896661367
448,0.37819391668069674
449,0.41780753714298297
450,0.009334886152013848
451,0.07115705612642398
452,0.8190484678451045
453,0.3337774599596943
454,0.2570734922918727
455,0.9543598172794395
456,0.027802013673546868
457,0.16166198068133644
458,0.0028084254240064908
459,0.001245918394985253
460,0.6847067353510883
461,0.31390252585377987
462,0.07360351835025818
463,1.0
464,0.7473964214208186
465,0.16778040593003887
466,0.0022556912713766015
467,0.42338829495676805
468,0.10732887825506497
469,0.4523968175175515
470,0.0050845550886324566
471,0.018035791893231054
472,0.2903897825699248
473,0.08026811011337866
474,0.07115705612642381
475,0.009488718675027112
476,0.01768139977132477
477,0.012053640476573115
478,0.040654489651092605
479,0.24503980648592327
480,0.044987136429458764
481,0.16039516418348534
482,0.16039516418348523
483,0.4619781961708567
484,0.4909793814765897
485,0.00977352835141415
486,0.00031428066641396287
487,0.000573053012621921
488,1.0
489,0.669328622001233
490,0.3988961144842291
491,0.00012235602312954234
492,0.057003512708320256
493,0.13770374707338387
494,0.3538338451451106
495,0.0017076547709950843
496,0.47843843511184986
497,0.015185367153935175
498,0.21402781017822042
499,0.023598688377149613
500,0.00019868288934867895
501,0.15136844371209632
